artist_display_name,artist_begin_date,artist_end_date,artist_display_bio,artist_alpha_sort,artist_nationality,artist_ulan_url,artist_wikidata_url,artist_id
Antoine Le Moiturier,1425      ,1497      ,"French, ca. 1425–ca. 1497","Le Moiturier, Antoine",French,http://vocab.getty.edu/page/ulan/500030278,https://www.wikidata.org/wiki/Q2667925,AM293
Master of Rimini,          ,          , ,Master of Rimini, ,http://vocab.getty.edu/page/ulan/500055846,https://www.wikidata.org/wiki/Q18508521,MR116
Michael Pacher,1430      ,1498      ,"Austrian or German, active by 1462/3–died 1498","Pacher, Michael",Austrian or German,http://vocab.getty.edu/page/ulan/500025831,https://www.wikidata.org/wiki/Q463922,MP184
Master of Soeterbeeck,1450      ,1550      ,active ca. 1470–80,"Soeterbeeck, Master of", ,,,MS237
Niclaus Gerhaert von Leyden,1462      ,1473      ,"North Netherlandish, active Strasbourg, ca. 1462–died 1473 Vienna","Gerhaert von Leyden, Niclaus",North Netherlandish,http://vocab.getty.edu/page/ulan/500100204,https://www.wikidata.org/wiki/Q33696,NL056
Jean de Liège,1361      ,1381      ,"Franco-Netherlandish, active ca. 1361–died 1381",de Liège Jean,Franco-Netherlandish,http://vocab.getty.edu/page/ulan/500073501,https://www.wikidata.org/wiki/Q10306567,JL358
Baldassare degli Embriachi,1390      ,1409      ,"Italian, active 1390–1409","Embriachi, Baldassare degli",Italian,http://vocab.getty.edu/page/ulan/500078881,https://www.wikidata.org/wiki/Q2880657,BE020
Mattheus Epfenhauser,          ,          ,German,Epfenhauser Mattheus,German (Nuremberg),,,ME059
Caspar Beutmüller the Elder,          ,          , ,Caspar Beutmüller,German,,,CE055
Master Heinrich of Constance,1300      ,1300      ,"German, active in Constance, ca. 1300",Heinrich of Constance Master,German,,,MC299
Piero di Giovanni Tedesco,          ,1402      ,"Italian, died ca. 1402",TEDESCO PIERO DI GIOVANNI,Italian,http://vocab.getty.edu/page/ulan/500003861,https://www.wikidata.org/wiki/Q3388219,PT068
Master Marcus,1396      ,1411      ,"Venetian, 1396–1411",MARCUS MASTER,Venetian,,,MM225
Hans Leinberger,1510      ,1530      ,"German, active 1510–1530","Leinberger, Hans",German,http://vocab.getty.edu/page/ulan/500007567,https://www.wikidata.org/wiki/Q896372,HL113
Claus de Werve,1380      ,1439      ,"Netherlandish, active in France, ca. 1380–1439, active Burgundy, 1396–ca. 1439",de Werve Claus,Netherlandish,http://vocab.getty.edu/page/ulan/500044477,https://www.wikidata.org/wiki/Q724570,CW145
Nicholas of Verdun and Cologne Followers,          ,          , ,of Verdun Nicholas and Cologne Followers,Mosan,,,NF033
Guillem Seguer,          ,          , ,"Seguer, Guillem",Catalan,,,GS275
Niclaus Weckmann,1481      ,1526      ,"German, 1481–ca. 1526","Weckmann, Niclaus",German,http://vocab.getty.edu/page/ulan/500331209,,NW020
Hans Thoman,1514      ,1525      ,"German, active Memmingen, ca. 1514–25","Thoman, Hans",German,http://vocab.getty.edu/page/ulan/500002460,https://www.wikidata.org/wiki/Q57314009,HT066
Pere Oller,          ,          ,"Catalan, active 1395 until at least 1444",Oller Pere,Catalan,http://vocab.getty.edu/page/ulan/500037794,https://www.wikidata.org/wiki/Q6743581,PO034
Alexander of Abingdon,1250      ,1350      ,"British, active 1291–1317",Alexander,British,http://vocab.getty.edu/page/ulan/500313178,https://www.wikidata.org/wiki/Q4718174,AA143
George Laskaris (Giorgios Laskaris),          ,          , ,"Laskaris (Giorgios Laskaris), George", ,,,GL148
Jean d'Arras,1250      ,1350      ,"French, active 1297–1307",d'Arras Jean,French,http://vocab.getty.edu/page/ulan/500320114,https://www.wikidata.org/wiki/Q98596435,JD303
Edgar Walter,1877      ,1938      ,"American, San Francisco, California 1877–1938 San Francisco, California","Walter, Edgar",American,http://vocab.getty.edu/page/ulan/500524243,https://www.wikidata.org/wiki/Q29033708,EW102
Chester Beach,1881      ,1956      ,"American, San Francisco, California 1881–1956 Brewster, New York","Beach, Chester",American,http://vocab.getty.edu/page/ulan/500042497,https://www.wikidata.org/wiki/Q5093468,CB304
Mahonri Mackintosh Young,1877      ,1957      ,"American, Salt Lake City, Utah 1877–1957 Norwalk, Connecticut","Young, Mahonri Mackintosh",American,http://vocab.getty.edu/page/ulan/500023951,https://www.wikidata.org/wiki/Q6734820,MY023
Albert Laessle,1877      ,1954      ,"American, Philadelphia, Pennsylvania 1877–1954 Miami, Florida","Laessle, Albert",American,http://vocab.getty.edu/page/ulan/500052972,https://www.wikidata.org/wiki/Q4710671,AL216
Harry Dickinson Thrasher,1883      ,1918      ,"American, Plainfield, New Hampshire 1883–1918 France","Thrasher, Harry Dickinson",American,http://vocab.getty.edu/page/ulan/500050949,,HT067
Mark Rothko,1903      ,1970      ,"American (born Russia, now Latvia), Dvinsk 1903–1970 New York","Rothko, Mark","American, born Russia",http://vocab.getty.edu/page/ulan/500014869,https://www.wikidata.org/wiki/Q160149,MR120
Peer Smed,1878      ,1943      ,"American (born Denmark), Copenhagen 1878–1943 New York","Smed, Peer","American, born Denmark",http://vocab.getty.edu/page/ulan/500524229,https://www.wikidata.org/wiki/Q69973239,PS164
Peter Blume,1906      ,1992      ,"American (born Russia), Belarus 1906–1992 New Milford, Connecticut","Blume, Peter","American, born Russia",http://vocab.getty.edu/page/ulan/500028254,https://www.wikidata.org/wiki/Q2990693,PB203
Hale Woodruff,1900      ,1980      ,"American, 1900–1980","Woodruff, Hale",American,http://vocab.getty.edu/page/ulan/500097842,https://www.wikidata.org/wiki/Q15489989,HW131
Guy Pène du Bois,1884      ,1958      ,"American, New York 1884–1958 Boston, Massachusetts","Pène du Bois, Guy",American,http://vocab.getty.edu/page/ulan/500120494,https://www.wikidata.org/wiki/Q5622550,GB290
Charles Demuth,1883      ,1935      ,"American, Lancaster, Pennsylvania 1883–1935 Lancaster, Pennsylvania","Demuth, Charles",American,http://vocab.getty.edu/page/ulan/500004441,https://www.wikidata.org/wiki/Q380494,CD143
Jack Whitten,1939      ,2018      ,"American, Bessemer, Alabama 1939–2018 New York","Whitten, Jack",American,http://vocab.getty.edu/page/ulan/500077661,https://www.wikidata.org/wiki/Q6115781,JW320
Michael Powolny,1871      ,1954      ,"Austrian, Judenburg 1871–1954 Vienna","Powolny, Michael",Austrian,http://vocab.getty.edu/page/ulan/500107071,https://www.wikidata.org/wiki/Q1928928,MP187
William Zorach,1889      ,1966      ,"American (born Lithuania), Jurbarkas (Eurburg) 1889–1966 Bath, Maine","Zorach, William","American, born Lithuania",http://vocab.getty.edu/page/ulan/500003603,https://www.wikidata.org/wiki/Q385941,WZ021
Bob Thompson,1937      ,1966      ,"American, Louisville, Kentucky 1937–1966 Rome, Italy","Thompson, Bob",American,http://vocab.getty.edu/page/ulan/500080773,https://www.wikidata.org/wiki/Q4934184,BT037
Clyfford Still,1904      ,1980      ,"American, Grandin, North Dakota 1904–1980 Baltimore, Maryland","Still, Clyfford",American,http://vocab.getty.edu/page/ulan/500020155,https://www.wikidata.org/wiki/Q700336,CS248
Philip Pearlstein,1924      ,2022      ,"American, Pittsburgh, Pennsylvania, 1924–2022 New York, New York","Pearlstein, Philip",American,http://vocab.getty.edu/page/ulan/500011988,https://www.wikidata.org/wiki/Q708763,PP188
Sam Gilliam,1933      ,2022      ,"American, born Tupelo, Mississippi, 1933–2022 Washington, D.C.","Gilliam, Sam",American,http://vocab.getty.edu/page/ulan/500013570,https://www.wikidata.org/wiki/Q2216478,SG090
Ilonka Karasz,1896      ,1981      ,"American (born Hungary) Budapest 1896–1981 New York, New York","Karasz, Ilonka",American,http://vocab.getty.edu/page/ulan/500267915,https://www.wikidata.org/wiki/Q19571518,IK027
François-Rupert Carabin,1862      ,1932      ,"French, Saverne, Bas-Rhin 1862–1932 Strasbourg","Carabin, François-Rupert",French,http://vocab.getty.edu/page/ulan/500067454,https://www.wikidata.org/wiki/Q3083651,FC231
William Harper,1944      ,9999      ,"American, born Bucyrus, Ohio, 1944","Harper, William",American,http://vocab.getty.edu/page/ulan/500083774,https://www.wikidata.org/wiki/Q8006861,WH156
William Wyman,1922      ,1980      ,"American, Boston, Massachusetts 1922–1980 Boston, Massachusetts","Wyman, William",American,(not assigned),https://www.wikidata.org/wiki/Q113467605,WW128
Malcolm Bailey,1947      ,2011      ,"American, New York 1947–2011","Bailey, Malcolm",American,http://vocab.getty.edu/page/ulan/500034659,https://www.wikidata.org/wiki/Q20089889,MB276
Chaim Gross,1904      ,1991      ,"American (born Austria), Wolow 1904–1991 New York","Gross, Chaim","American, born Austria",http://vocab.getty.edu/page/ulan/500033064,https://www.wikidata.org/wiki/Q4976935,CG152
Glen Lukens,1887      ,1967      ,"American, Cowgill, Missouri 1887–1967 Los Angeles, California","Lukens, Glen",American,(not assigned),https://www.wikidata.org/wiki/Q17626688,GL150
Jo Davidson,1883      ,1952      ,"American, 1883–1952","Davidson, Jo",American,http://vocab.getty.edu/page/ulan/500011498,https://www.wikidata.org/wiki/Q1641647,JD308
Jean Hélion,1904      ,1987      ,"French, Couterne 1904–1987 Paris","Helion, Jean",French,http://vocab.getty.edu/page/ulan/500071676,https://www.wikidata.org/wiki/Q728088,JH391
Gustave Serrurier-Bovy,1858      ,1910      ,"Belgian, Liège 1858–1910 Antwerp","Serrurier-Bovy, Gustave",Belgian,http://vocab.getty.edu/page/ulan/500023955,https://www.wikidata.org/wiki/Q730882,GS278
Lois Mailou Jones,1905      ,1998      ,"American, Boston, Massachusetts 1905–1998 Washington, D.C.","Jones, Lois Mailou",American,http://vocab.getty.edu/page/ulan/500034910,https://www.wikidata.org/wiki/Q3258676,LJ037
Beverly Buchanan,1940      ,2015      ,"American, 1940–2015","Buchanan, Beverly",American,http://vocab.getty.edu/page/ulan/500064389,https://www.wikidata.org/wiki/Q4899487,BB141
Robert Colescott,1925      ,2009      ,"American, Oakland, California 1925–2009 Tucson, Arizona","Colescott, Robert",American,http://vocab.getty.edu/page/ulan/500102583,https://www.wikidata.org/wiki/Q2676807,RC226
Horace Pippin,1888      ,1946      ,"American, West Chester, Pennsylvania 1888–1946 West Chester, Pennsylvania","Pippin, Horace",American,http://vocab.getty.edu/page/ulan/500026325,https://www.wikidata.org/wiki/Q325076,HP117
Robert Laurent,1890      ,1970      ,"American (born France), Concarneau 1890–1970 Cape Neddick, Maine","Laurent, Robert","American, born France",http://vocab.getty.edu/page/ulan/500049308,https://www.wikidata.org/wiki/Q7346738,RL101
Fernando Botero,1932      ,9999      ,"Colombian, born Medellín, 1932","Botero, Fernando",Colombian,http://vocab.getty.edu/page/ulan/500004359,https://www.wikidata.org/wiki/Q272877,FB224
Marcel Breuer,1902      ,1981      ,"American (born Hungary), Pécs 1902–1981 New York","Breuer, Marcel","American, born Hungary",http://vocab.getty.edu/page/ulan/500118800,https://www.wikidata.org/wiki/Q57588,MB278
Marsden Hartley,1877      ,1943      ,"American, Lewiston, Maine 1877–1943 Ellsworth, Maine","Hartley, Marsden",American,http://vocab.getty.edu/page/ulan/500012910,https://www.wikidata.org/wiki/Q553259,MH135
Arthur Dove,1880      ,1946      ,"American, Canandaigua, New York 1880–1946 Huntington, New York","Dove, Arthur",American,http://vocab.getty.edu/page/ulan/500018046,https://www.wikidata.org/wiki/Q709461,AD181
Franz Kline,1910      ,1962      ,"American, Wilkes-Barre, Pennsylvania 1910–1962 New York","Kline, Franz",American,http://vocab.getty.edu/page/ulan/500007696,https://www.wikidata.org/wiki/Q374492,FK049
Robert Lallemant,1902      ,1954      ,"French, 1902–1954","Lallemant, Robert",French,(not assigned),https://www.wikidata.org/wiki/Q74741022,RL107
Toshiko Takaezu,1922      ,2011      ,"American, Pepeekeo, Hawaii 1922–2011 Honolulu, Hawaii","Takaezu, Toshiko",American,http://vocab.getty.edu/page/ulan/500126272,https://www.wikidata.org/wiki/Q7827716,TT059
Kenzo Tange,1913      ,2005      ,"Japanese, 1913–2005","Tange, Kenzo",Japanese,http://vocab.getty.edu/page/ulan/500004256,https://www.wikidata.org/wiki/Q151794,KT028
Eva Zeisel,1906      ,2011      ,"American, Budapest 1906–2011 New City, New York","Zeisel, Eva",American,http://vocab.getty.edu/page/ulan/500092239,https://www.wikidata.org/wiki/Q216141,EZ015
O. Louis Guglielmi,1906      ,1956      ,"American (born Egypt), Cairo 1906–1956 Amagansett, New York","Guglielmi, O Louis","American, born Egypt",http://vocab.getty.edu/page/ulan/500009048,https://www.wikidata.org/wiki/Q2036288,OG017
Niles Spencer,1893      ,1952      ,"American, Pawtucket, Rhode Island 1893–1952 Dingman's Ferry, Pennsylvania","Spencer, Niles",American,http://vocab.getty.edu/page/ulan/500030928,https://www.wikidata.org/wiki/Q20825697,NS059
Joseph Stella,1877      ,1946      ,"American (born Italy) Muro Lucano 1877–1946 New York, New York","Stella, Joseph",American,http://vocab.getty.edu/page/ulan/500032250,https://www.wikidata.org/wiki/Q1347418,JS617
Ken Price,1935      ,2012      ,"American, Los Angeles, California 1935–2012 Arroyo Hondo, New Mexico","Price, Ken",American,http://vocab.getty.edu/page/ulan/500026883,https://www.wikidata.org/wiki/Q6390606,KP033
Ron Nagle,1939      ,9999      ,"American, born San Francisco, 1939","Nagle, Ron",American,http://vocab.getty.edu/page/ulan/500063101,https://www.wikidata.org/wiki/Q7364197,RN025
Gordon Baldwin,1932      ,9999      ,"British, born 1932","Baldwin, Gordon",British,http://vocab.getty.edu/page/ulan/500061027,https://www.wikidata.org/wiki/Q5584836,GB292
Magdalene Odundo,1950      ,9999      ,"British, born Nairobi, Kenya, 1950","Odundo, Magdalene",British,http://vocab.getty.edu/page/ulan/500098587,https://www.wikidata.org/wiki/Q6729929,MO041
Edward Francis McCartan,1879      ,1947      ,"American, Albany, New York 1879–1947 New Rochelle, New York","McCartan, Edward Francis",American,http://vocab.getty.edu/page/ulan/500049853,https://www.wikidata.org/wiki/Q5344384,EM145
John Gregory,1879      ,1958      ,"American (born England), London 1879–1958 New York","Gregory, John","American, born England",http://vocab.getty.edu/page/ulan/500010211,https://www.wikidata.org/wiki/Q6236267,JG329
Harriet Whitney Frishmuth,1880      ,1980      ,"American, Philadelphia, Pennsylvania 1880–1980 Waterbury, Connecticut","Frishmuth, Harriet Whitney",American,http://vocab.getty.edu/page/ulan/500119315,https://www.wikidata.org/wiki/Q5664377,HF085
Herbert Haseltine,1877      ,1962      ,"American (born Italy), Rome 1877–1962 Paris","Haseltine, Herbert","American, born Italy",http://vocab.getty.edu/page/ulan/500094830,https://www.wikidata.org/wiki/Q12059633,HH147
Josef Mario Korbel,1882      ,1954      ,"American, 1882–1954","Korbel, Josef Mario",American,http://vocab.getty.edu/page/ulan/500049111,https://www.wikidata.org/wiki/Q6764747,JK174
Ernest Blumenschein,1874      ,1960      ,"American, Pittsburgh, Pennsylvania 1874–1960 Albuquerque, New Mexico","Blumenschein, Ernest",American,http://vocab.getty.edu/page/ulan/500013004,https://www.wikidata.org/wiki/Q12053202,EB210
Richmond Barthé,1901      ,1989      ,"American, Bay St. Louis, Mississippi 1901–1989 Pasadena, California","Barthe, Richmond",American,http://vocab.getty.edu/page/ulan/500020064,https://www.wikidata.org/wiki/Q3431473,RB214
Stanton Macdonald-Wright,1890      ,1973      ,"American, Charlottesville, Virginia 1890–1973 Los Angeles, California","Macdonald-Wright, Stanton",American,http://vocab.getty.edu/page/ulan/500007154,https://www.wikidata.org/wiki/Q2348151,SM143
Florine Stettheimer,1871      ,1944      ,"American, Rochester, New York 1871–1944 New York, New York","Stettheimer, Florine",American,http://vocab.getty.edu/page/ulan/500011029,https://www.wikidata.org/wiki/Q5461886,FS182
Hedda Sterne,1910      ,2011      ,"American, Bucharest 1910–2011 New York, New York","Sterne, Hedda",American,http://vocab.getty.edu/page/ulan/500007206,https://www.wikidata.org/wiki/Q436874,HS225
George Tooker,1920      ,2011      ,"American, Brooklyn, New York 1920–2011 Hartland, Vermont","Tooker, George",American,http://vocab.getty.edu/page/ulan/500017656,https://www.wikidata.org/wiki/Q938221,GT103
Joseph Garino,          ,          ,French (born Italy),"Garino, Joseph",French,,,JG334
Laura Owens,1970      ,9999      ,"American, born 1970","Owens, Laura",American,http://vocab.getty.edu/page/ulan/500114911,https://www.wikidata.org/wiki/Q6499289,LO020
Paul Chaleff,1947      ,9999      ,"American, born 1947","Chaleff, Paul",American,http://vocab.getty.edu/page/ulan/500332246,https://www.wikidata.org/wiki/Q77353868,PC258
Helen Hughes Dulany,1885      ,1968      ,"American, Bismarck, North Dakota 1885–1968 New York, New York","Dulany, Helen Hughes",American,http://vocab.getty.edu/page/ulan/500524181,,HD076
Iakov Chernikhov,1889      ,1951      ,"Ukrainian, Pavlohrad 1889–1951 Moscow","Chernikhov, Iakov",Ukrainian,http://vocab.getty.edu/page/ulan/500016531,https://www.wikidata.org/wiki/Q1399741,IC059
Peter Doig,1959      ,9999      ,"British, born Edinburgh, Scotland, 1959","Doig, Peter",British,http://vocab.getty.edu/page/ulan/500094247,https://www.wikidata.org/wiki/Q1281272,PD108
Jacques Le Chevallier,1896      ,1987      ,"French, 1896–1987","Le, Chevallier Jacques",French,(not assigned),https://www.wikidata.org/wiki/Q3159299,JC608
Arthur Segal,1875      ,1944      ,"Romanian, Jassy 1875–1944 London","Segal, Arthur",Romanian,http://vocab.getty.edu/page/ulan/500028300,https://www.wikidata.org/wiki/Q215049,AS286
Thomas Gentille,1936      ,9999      ,"American, born Mansfield, Ohio, 1936","Gentille, Thomas",American,http://vocab.getty.edu/page/ulan/500066969,https://www.wikidata.org/wiki/Q100157076,TG081
Mary Lee Hu,1943      ,9999      ,"American, born Lakewood, Ohio, 1943","Hu, Mary Lee",American,http://vocab.getty.edu/page/ulan/500336113,https://www.wikidata.org/wiki/Q6780071,MH140
Earl Pardon,1926      ,1991      ,"American, Memphis 1926–1991 Boston","Pardon, Earl",American,http://vocab.getty.edu/page/ulan/500336688,https://www.wikidata.org/wiki/Q52157447,EP156
Joyce J. Scott,1948      ,9999      ,"American, born Baltimore, Maryland, 1948","Scott, Joyce J.",American,http://vocab.getty.edu/page/ulan/500329399,https://www.wikidata.org/wiki/Q16192925,JS623
Art Smith,1917      ,1982      ,"American, born Cuba 1917–1982 New York","Smith, Art",American,http://vocab.getty.edu/page/ulan/500122193,https://www.wikidata.org/wiki/Q21136215,AS288
Mary Rogers,1929      ,2021      ,"British, Belper, Derbyshire 1929–2021","Rogers, Mary",British,http://vocab.getty.edu/page/ulan/500096267,https://www.wikidata.org/wiki/Q62088156,MR132
Cecily Brown,1969      ,9999      ,"British, born London, 1969","Brown, Cecily",British,http://vocab.getty.edu/page/ulan/500122420,https://www.wikidata.org/wiki/Q458521,CB323
Douglas Donaldson,1882      ,1972      ,"American, Detroit, Michigan 1882–1972 Los Angeles, California","Donaldson, Douglas",American,http://vocab.getty.edu/page/ulan/500524302,,DD050
